AddressID,SiteID,sMrMrs,sFName,sMI,sLName,sCompany,sAddr1,sAddr2,sCity,sRegion,sPostalCode,sCountry,sPhone1,sPhone2,sPhone3,sPhone4,sPhone5,sPhone6,dcLongitude,dcLatitude,bPermanent,dDeleted,dUpdated,dArchived,uTS,OldPK
1,37971,,Test,,Portable,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.5319000000,35.8666200000,0,,2019-08-15 15:21:30.590,,\u0000\u0000\u0000\u0000\u0000]�K,
2,37971,,Test,,Portable,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.5319000000,35.8666200000,0,,2019-08-15 15:21:30.590,,\u0000\u0000\u0000\u0000\u0000]�L,
3,37971,,Test,,Portable,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.5319000000,35.8666200000,0,,2020-05-29 15:30:25.343,,\u0000\u0000\u0000\u0000\u0000w]N,
4,37971,,Test,,Portable,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.5319000000,35.8666200000,0,,2020-05-29 15:30:25.360,,\u0000\u0000\u0000\u0000\u0000w]O,
5,37971,,Syed,,Test 01,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2023-05-23 11:28:04.317,,\u0000\u0000\u0000\u0000\u0001X޳,
6,37971,,Syed,,Test 01,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2023-05-23 11:28:04.317,,\u0000\u0000\u0000\u0000\u0001X޴,
7,37971,,Vito,,Corleone,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2023-06-13 01:23:20.490,,\u0000\u0000\u0000\u0000\u0001a\u0016�,
8,37971,,Vito,,Corleone,,3301 Atlantic Ave,,Raleigh,NC,27526,,,,,,,,-78.7843200000,35.5985400000,0,,2023-06-13 01:23:20.493,,\u0000\u0000\u0000\u0000\u0001a\u0016�,
9,37971,,Vito,,Corleone,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.5319000000,35.8666200000,0,,2023-06-13 01:23:20.493,,\u0000\u0000\u0000\u0000\u0001a\u0016�,
10,37971,,Vito,,Corleone,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2023-06-20 10:01:53.613,,\u0000\u0000\u0000\u0000\u0001t�\u001a,
11,37971,,Vito,,Corleone,,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.5319000000,35.8666200000,0,,2023-06-20 10:01:53.613,,\u0000\u0000\u0000\u0000\u0001t�\u001b,
12,37971,,Vito,,Corleone,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2023-06-20 10:01:53.617,,\u0000\u0000\u0000\u0000\u0001t�\u001c,
13,37971,,Tony,,Stark,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2023-12-04 10:28:39.677,,\u0000\u0000\u0000\u0000\u001cS\n�,
14,37971,,Tony,,Stark,,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.5319000000,35.8666200000,0,,2023-12-04 10:28:39.677,,\u0000\u0000\u0000\u0000\u001cS\n�,
15,37971,,Tony,,Stark,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2023-12-04 10:28:39.680,,\u0000\u0000\u0000\u0000\u001cS\n�,
16,37971,,Jane,E,Moneypenny,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2023-12-04 10:44:13.663,,\u0000\u0000\u0000\u0000\u001cS\n�,
17,37971,,Jane,E,Moneypenny,,25 Wellingston Square,,New London,NC,28127,,123-007-0008,,,,,,-80.2042160000,35.4004100000,0,,2023-12-04 10:44:13.670,,\u0000\u0000\u0000\u0000\u001cS\n�,
18,37971,,Jane,E,Moneypenny,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2023-12-04 10:44:13.670,,\u0000\u0000\u0000\u0000\u001cS\n�,
19,37971,,Indiana,,Jones,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.5319000000,35.8666200000,0,,2026-02-17 12:07:38.140,,\u0000\u0000\u0000\u0000\u001e���,
20,37971,,Indiana,,Jones,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.5319000000,35.8666200000,0,,2026-02-17 12:07:38.147,,\u0000\u0000\u0000\u0000\u001e���,
21,37971,,Han,,Solo,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2026-02-23 16:12:21.520,,\u0000\u0000\u0000\u0000\u001e��B,
22,37971,,Han,,Solo,,,,,,21111,,,,,,,,-76.5928800000,39.5699400000,0,,2026-02-23 16:12:21.523,,\u0000\u0000\u0000\u0000\u001e��C,
23,37971,,Han,,Solo,,,,,,21111,,,,,,,,-76.5928800000,39.5699400000,0,,2026-02-23 16:12:21.523,,\u0000\u0000\u0000\u0000\u001e��D,
24,37971,,Han,,Solo,SiteLink QA - GB Portable Test,3301 Atlantic Ave,,Raleigh,NC,27604,,,,,,,,-78.6056030000,35.8267020000,0,,2026-02-23 16:12:21.523,,\u0000\u0000\u0000\u0000\u001e��E,
